0,max_velocity,weighted_velocity,mean_velocity,freq_of_max,area,label
1,4.869751207271401e-11,1.135248986099039e-12,2.5473199929817543e-12,0.8772155082653814,8.035556627063156e-08,impact_mq
2,2.53527299132083e-11,1.8921556393640104e-13,5.686999758953281e-13,0.8281300894618563,7.648820687378829e-08,impact_mq
3,3.463589995400369e-11,7.980257400482433e-13,1.85863801916563e-12,0.9697655465692081,5.858502725619864e-08,impact_mq
4,2.072148770010002e-11,1.9408915898644908e-13,4.485189292219276e-13,0.828125,8.72761145784401e-08,impact_mq
5,1.354161694177282e-11,3.1266409031987667e-13,7.601148106554978e-13,0.8281286484009817,5.877052618320202e-08,deep_mq
6,5.987094281255129e-11,1.8008792318951618e-12,3.4937372020339374e-12,0.8333742076667674,1.7786772048396943e-07,impact_mq
7,1.7690012502868178e-10,9.0457925170621e-12,1.4865608163814936e-11,0.8678558274138385,7.11806770400234e-07,impact_mq
8,2.506202446761376e-11,5.269100809272847e-13,1.123764054365829e-12,0.8384128147904946,1.9669406774149278e-07,impact_mq
9,1.3046132961250136e-11,2.8392182580574945e-13,6.333895976320428e-13,0.828116508471448,6.878916111111512e-08,deep_mq
10,2.751169469648443e-11,6.11265177807649e-13,1.4040876457361438e-12,0.9731615173627284,4.8904872280378545e-08,impact_mq
11,1.915401604150088e-11,4.716527308675878e-13,1.0827968462036996e-12,0.11926232674048773,1.1629466952699067e-07,impact_mq
12,1.3857287513858249e-11,3.1252678552259894e-13,7.226736553780119e-13,0.8281250000000001,6.893023392898315e-08,impact_mq
13,1.5108342722443145e-11,2.0291249361216206e-13,4.943082454150789e-13,0.828125,6.666326637443711e-08,impact_mq
14,5.34814922405251e-11,7.691907752771033e-13,1.9404304053361977e-12,0.828165441715095,5.217298438924782e-08,deep_mq
15,5.820592751996414e-11,3.2665176861671097e-13,8.437796089639224e-13,0.8281124756128916,5.3657794739485416e-08,deep_mq
16,1.4428112135866727e-11,3.423703628672229e-13,7.761810063944863e-13,0.8870717432882865,7.663891564071184e-08,impact_mq
17,6.130880386044101e-11,2.6886819450798796e-13,6.868467605965641e-13,0.8281327009810759,4.7886282459242656e-08,deep_mq
18,7.301761864194775e-11,3.776747719969733e-13,9.44716028984719e-13,0.8281311445000927,4.215123680275276e-08,impact_mq
19,5.500321581195321e-12,1.534532982508822e-13,3.6634724514724995e-13,0.8443294758409305,6.152684098125042e-08,impact_mq
20,9.151471756668938e-11,3.078464275839848e-13,7.646102995240252e-13,0.8281170189184761,5.2904178196376746e-08,impact_mq
21,2.720683687165602e-11,2.6575887075832023e-13,7.488538611644329e-13,0.828144852923549,3.672060909467755e-08,impact_mq
22,2.070779779722078e-11,8.438094794885018e-13,1.668910483872883e-12,0.8281291008670935,2.82220360295447e-07,shallow_mq
23,1.9553701440065463e-11,4.04222819473307e-13,8.928655219725644e-13,0.9095132224677902,1.2707499090203681e-07,impact_mq
24,1.8901339118276486e-11,3.8546325818618366e-13,8.59806023275372e-13,0.8757142457829341,1.0848890504817247e-07,impact_mq
25,4.707216351131051e-11,1.7326529100356247e-13,4.5435708708964564e-13,0.8281299602085209,7.186562647550128e-08,impact_mq
26,1.2684432046057191e-09,5.205067987341181e-11,9.485446966158657e-11,0.9534483192115255,1.7142216416566437e-06,impact_mq
27,2.384891298823986e-10,7.89304241455079e-12,1.5691667701661624e-11,0.4391601173301025,2.0500911085770924e-06,impact_mq
28,4.184071559827259e-11,1.7661986890322855e-13,3.8210962567468707e-13,0.8281319214021247,5.249932049933906e-08,impact_mq
29,7.894514519760256e-11,4.4420452152094686e-13,9.434777595891553e-13,0.828125,1.8146158652617435e-07,impact_mq
